Flood_ID,DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,GADM Admin Units,Entry Date,Last Update,Start Date,End Date,Duration
1,2026-0088-SYR,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,SYR,Syrian Arab Republic,Western Asia,Asia,"Idleb, Lattaquié, Hama",Heavy rain,,No,No,No,,,Km2,,,,3.0,5.0,4500.0,,4505.0,,,,,,,,,,2026-02-11,2026-02-16,2026-02-08,2026-02-10,2
2,2026-0075-IDN,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,IDN,Indonesia,South-eastern Asia,Asia,Greater Jakarta area and the Indramayu regency (Java Isl.),Heavy rain,,No,No,No,,,Km2,,,"Cilanang, Srenseng and Medana rivers",,,20600.0,,20600.0,,,,,,,,,,2026-02-04,2026-02-16,2026-01-28,2026-02-03,6
3,2026-0084-COL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2026-000017,,COL,Colombia,Latin America and the Caribbean,Americas,"Cordoba, Sucre, Cauca, La Guajira, Chocó, and Antioquia, Narino, departments",Torrential rain,,No,No,No,,,Km2,,,Sinu river,44.0,,216000.0,,216000.0,,,,,,,,,,2026-02-11,2026-02-16,2026-01-26,2026-02-11,16
4,2026-0033-TUN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2026-000006|GLIDE:FL-2026-000008,,TUN,Tunisia,Northern Africa,Africa,"Laghouat, Blida, Djelfa, Mascara, El Bayadh, Boumerdes, Tunis, Ariana, Manouba, Ben Arous, Bizerte,Nabeul, Sousse, Monastir, Mahdia, Sfax, Béja, Jendouba, and Kef",Heavy rain,,No,No,No,,,Km2,,,,5.0,,25000.0,,25000.0,,,,,,,,,,2026-01-26,2026-02-04,2026-01-18,2026-01-21,3
5,2026-0033-DZA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2026-000006|GLIDE:FL-2026-000008,,DZA,Algeria,Northern Africa,Africa,"Laghouat, Blida, Djelfa, Mascara, El Bayadh, Boumerdes, Relizane, Chlef, Alger, Tiaret, Tissemsilt, Médéa, Tipaza, and Aïn Defla provinces",Heavy rain,,No,No,No,,,Km2,,,,1.0,,6000.0,,6000.0,,,,,,,,,,2026-01-26,2026-02-04,2026-01-18,2026-01-20,2
6,2026-0007-IDN,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,IDN,Indonesia,South-eastern Asia,Asia,"Sitaro Islands regency (Celebes, North Sulawesi province); Sumbawa, North Sulawesi, and Halmahera Island",Heavy rains,,No,No,No,,,Km2,,,,16.0,22.0,682.0,,704.0,,,,,,,,,,2026-01-07,2026-02-16,2026-01-06,2026-01-08,2
7,2026-0006-AFG,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,AFG,Afghanistan,Southern Asia,Asia,"Herat, Badghis, and Faryab provinces",Heavy rain,,No,No,No,,,Km2,,,,17.0,11.0,14700.0,,14711.0,,,,,,,,,,2026-01-07,2026-02-16,2026-01-02,2026-01-04,2
8,2026-0048-ZWE,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,ZWE,Zimbabwe,Sub-Saharan Africa,Africa,"Masvingo, Manicaland, Midlands, and Mashonaland East provinces",Heavy rains,,No,No,No,,,Km2,,,,83.0,,,6500.0,6500.0,,,,,,,,,,2026-01-29,2026-02-12,2026-01-01,2026-01-26,25
9,2025-1068-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,USA,United States of America,Northern America,Americas,"Santa Barbara, Ventura, Los Angeles, and San Bernardino counties (California)","Heavy rains, phénomène 'rivière atmosphérique' (Pineapple Express - Ananas Express)",Storm,No,No,Yes,,,Km2,,,,4.0,,,,,,,,,100000.0,,,,"[{""gid_2"":""USA.5.19_1"",""name_2"":""Los Angeles""},{""gid_2"":""USA.5.36_1"",""name_2"":""San Bernardino""},{""gid_2"":""USA.5.42_1"",""name_2"":""Santa Barbara""},{""gid_2"":""USA.5.56_1"",""name_2"":""Ventura""}]",2026-01-02,2026-01-27,2025-12-23,2025-12-25,2
10,2025-1061-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,"West Nusa Tenggara, North Sulawesi, North Sumatra, and East Java provinces",Heavy rain,,No,No,No,,,Km2,,,,,,2000.0,,2000.0,,,,,,,,,"[{""gid_1"":""IDN.11_1"",""name_1"":""Jawa Timur""},{""gid_1"":""IDN.20_1"",""name_1"":""Nusa Tenggara Barat""},{""gid_1"":""IDN.29_1"",""name_1"":""Sulawesi Utara""},{""gid_1"":""IDN.32_1"",""name_1"":""Sumatera Utara""}]",2025-12-23,2026-01-15,2025-12-21,2025-12-23,2
11,2025-1053-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,"Sampang, Jember Regencies ; Banyuwangi, (Java); Banjar Regencies (Kalimantan)",Heavy rain,,No,No,No,,,Km2,,,,,,15745.0,,15745.0,,,,,,,,,"[{""gid_2"":""IDN.11.2_1"",""name_2"":""Banyuwangi""},{""gid_2"":""IDN.11.31_1"",""name_2"":""Sampang""},{""gid_2"":""IDN.11.8_1"",""name_2"":""Jember""},{""gid_2"":""IDN.13.3_1"",""name_2"":""Banjar""}]",2025-12-18,2026-01-15,2025-12-16,2025-12-18,2
12,2025-1063-IRN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FF-2025-000225,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Ardabil, Azarbayejan Sharghi, Bushehr, Chaharmahal and Bakhtiari, Esfahan, Fars, Ghom, Golestan, Hamedan, Hormozgan, Kerman, Khorasan Jonoubi, Khorasan Razavi, Khorasan Shomali, Khuzestan, Kohgiluyeh va boyerahma, Kurdistan, Markazi, Mazandaran, Semnan, Sistan-o baluchestan, Yazd, Zanjan",,Flood|Lightening,No,No,No,,,Km2,,,,7.0,19.0,42112.0,,42131.0,,,,,,,,,"[{""gid_1"":""IRN.10_1"",""name_1"":""Hamadan""},{""gid_1"":""IRN.11_1"",""name_1"":""Hormozgan""},{""gid_1"":""IRN.13_1"",""name_1"":""Kerman""},{""gid_1"":""IRN.15_1"",""name_1"":""Khuzestan""},{""gid_1"":""IRN.16_1"",""name_1"":""Kohgiluyeh and Buyer Ahmad""},{""gid_1"":""IRN.17_1"",""name_1"":""Kordestan""},{""gid_1"":""IRN.19_1"",""name_1"":""Markazi""},{""gid_1"":""IRN.20_1"",""name_1"":""Mazandaran""},{""gid_1"":""IRN.21_1"",""name_1"":""North Khorasan""},{""gid_1"":""IRN.23_1"",""name_1"":""Qom""},{""gid_1"":""IRN.24_1"",""name_1"":""Razavi Khorasan""},{""gid_1"":""IRN.25_1"",""name_1"":""Semnan""},{""gid_1"":""IRN.26_1"",""name_1"":""Sistan and Baluchestan""},{""gid_1"":""IRN.27_1"",""name_1"":""South Khorasan""},{""gid_1"":""IRN.2_1"",""name_1"":""Ardebil""},{""gid_1"":""IRN.30_1"",""name_1"":""Yazd""},{""gid_1"":""IRN.31_1"",""name_1"":""Zanjan""},{""gid_1"":""IRN.3_1"",""name_1"":""Bushehr""},{""gid_1"":""IRN.4_1"",""name_1"":""Chahar Mahall and Bakhtiari""},{""gid_1"":""IRN.5_1"",""name_1"":""East Azarbaijan""},{""gid_1"":""IRN.6_1"",""name_1"":""Esfahan""},{""gid_1"":""IRN.7_1"",""name_1"":""Fars""},{""gid_1"":""IRN.9_1"",""name_1"":""Golestan""}]",2025-12-23,2026-01-15,2025-12-15,2025-12-22,7
13,2025-1048-MAR,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,GLIDE:FF-2025-000223,,MAR,Morocco,Northern Africa,Africa,Safi province (Marrakesh-Safi region); Tinghir province (Drâa-Tafilalet region),Heavy rain,,No,No,No,,,Km2,,,,52.0,38.0,2800.0,,2838.0,,,,,,,,,,2025-12-17,2026-01-06,2025-12-14,2025-12-14,0
14,2025-1047-MYS,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,MYS,Malaysia,South-eastern Asia,Asia,Terengganu and Pahang,Heavy rain,,No,No,No,,,Km2,,,,,,2103.0,,2103.0,,,,,,,,,,2025-12-17,2025-12-19,2025-12-14,2025-12-17,3
15,2025-1050-BOL,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,"El Torno, La Guardia and Cotoca municipalities (Santa Cruz department); Beni, Cochabamba",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,Piraí and Espejos rivers,30.0,142.0,10500.0,,10642.0,,,,,36000.0,,,,,2025-12-17,2025-12-19,2025-12-12,2025-12-16,4
16,2025-1040-IRQ,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FF-2025-000222,,IRQ,Iraq,Western Asia,Asia,"Ninawa, Sulaymaniyah, Erbil, and Kirkuk governorates",,,No,No,No,,,Km2,,,,6.0,19.0,16230.0,,16249.0,,,,,,,,,,2025-12-11,2026-01-06,2025-12-09,2025-12-12,3
17,2025-0996-MYS,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,GLIDE:FL-2025-000211,,MYS,Malaysia,South-eastern Asia,Asia,"Sabah, Sarawak Kelantan, Perlis, Perak, Selangor, Kedah, Penang, Terengganu, and Pahang states",Torrential rain,,No,No,No,,,Km2,,,,3.0,,18700.0,,18700.0,,,,,,,,,,2025-11-27,2025-12-12,2025-11-22,2025-12-03,11
18,2025-0979-THA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2025-000209,,THA,Thailand,South-eastern Asia,Asia,"Phra Nakhon Si Ayutthaya province; Tha Din Daeng subdistrict in Bangkok; Chaiya and Kathu districts (Malay Peninsula); hitsanulok, Nakhon Sawan, Uthai Thani, Sing Buri, Chainat, Ang Thong, Suphan Buri, Pathum Thani, Nonthaburi and Nakhon Pathom provinces; Surat Thani, Nakhon Si Thammarat, Trang, Phatthalung, Satun, Songkhla, Pattani, Yala, Narathiwat Prachuap Khiri Khan, Chumphon, Krabi",Heavy rain,,No,No,No,,,Km2,,,,276.0,5.0,4000000.0,,4000005.0,,,,,15600000.0,,,,,2025-11-21,2025-12-12,2025-11-15,2025-11-27,12
19,2025-0966-COD,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,Kinshasa capital city area,Heavy rain,,No,No,No,,,Km2,,,"N'djili, Nsanga and Makelele rivers",10.0,153.0,99138.0,,99291.0,,,,,,,,,,2025-11-14,2025-12-02,2025-11-11,2025-11-12,1
20,2025-0936-IDN,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,IDN,Indonesia,South-eastern Asia,Asia,Nduga district (Papua province),Torrential rain,,No,No,No,,,Km2,,,,23.0,,23.0,,23.0,,,,,,,,,,2025-11-04,2025-12-05,2025-11-01,2025-11-02,1
21,2025-1007-CRI,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CRI,Costa Rica,Latin America and the Caribbean,Americas,"Alajuela; Cartago; Cuajiniquil, Santa Cruz Veintisiete de Abril, Santa Cruz, Tempate, Santa Cruz, Tamarindo, Nosara, Nicoya (Guanacaste); Sierpe de Osa, Puerto Jiménez, Bahía Drake, Corredor, Corredores, Guaycará, Golfito, Jacó, Garabito (Puntarenas)",Indirect effects of Tropical Storm Melissa,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,,,400000.0,,400000.0,,,,,,,,,,2025-11-28,2026-02-11,2025-10-25,2025-10-31,6
22,2025-0898-HND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,HND,Honduras,Latin America and the Caribbean,Americas,"Francisco Morazán, La Paz, Intibucá, and Lempira departments",Heavy rain,"Slide (land, mud, snow, rock)",No,No,Yes,,,Km2,,,,16.0,,34073.0,,34073.0,,,,,,,,,,2025-10-20,2025-10-24,2025-10-17,2025-10-20,3
23,2025-0865-MEX,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,MEX,Mexico,Latin America and the Caribbean,Americas,"Veracruz, Puebla, Hidalgo, San Luis Potosí, and Querétaro states","Heavy rains, remnants of Hurricane Priscilla and Tropical Storm Raymond","Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,107.0,,211335.0,,211335.0,,,,,,,,,,2025-10-16,2025-10-23,2025-10-06,2025-10-09,3
24,2025-0858-NPL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,NPL,Nepal,Southern Asia,Asia,Ilam district (Koshi province); Jhapa District,,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,57.0,47.0,20295.0,,20342.0,,,,,,,,,,2025-10-07,2025-10-20,2025-10-03,2025-10-05,2
25,2025-0859-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,Darjeeling (West Bengal); Bihar states,Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,32.0,13.0,,2500.0,2513.0,,,,,2200.0,,,,,2025-10-07,2025-10-20,2025-10-03,2025-10-07,4
26,2025-0852-BGR,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,BGR,Bulgaria,Eastern Europe,Europe,Elenite (Burgas province),Heavy rains,,No,No,Yes,,,Km2,,,,4.0,,100.0,,100.0,,,,,,,,,,2025-10-03,2025-10-07,2025-10-03,2025-10-03,0
27,2025-0847-KHM,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,KHM,Cambodia,South-eastern Asia,Asia,Mondulkiri and Ratanakiri provinces,Heavy rains,,No,No,No,,,Km2,,,,,,67000.0,,67000.0,,,,,,,,,,2025-10-02,2026-01-06,2025-10-01,2025-10-02,1
28,2025-0848-UKR,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,UKR,Ukraine,Eastern Europe,Europe,Odesa city (Odesa Oblast),Heavy rains,,No,No,Yes,,,Km2,,,,9.0,,2010.0,,2010.0,,,,,,,,,,2025-10-02,2025-10-06,2025-09-30,2025-09-30,0
29,2025-0878-GEO,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2025-000185,,GEO,Georgia,Western Asia,Asia,Lagodekhi (Kakheti municipality),Heavy rains,,No,No,No,,,Km2,,,,,,20000.0,,20000.0,,,,,,,,,,2025-10-16,2025-11-04,2025-09-28,2025-10-06,8
30,2025-0798-THA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,THA,Thailand,South-eastern Asia,Asia,"Ayutthaya, Phichit, and Phetchabun",Heavy rain,,No,No,No,,,Km2,,,Chao Praya River basin,4.0,,250000.0,,250000.0,,,,,,,,,,2025-09-26,2025-09-29,2025-09-23,2025-09-24,1
31,2025-0799-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,Central Papua and East Java,Heavy rain,"Slide (land, mud, snow, rock)|Storm",No,No,No,,,Km2,,,,1.0,7.0,220.0,,227.0,,,,,,,,,,2025-09-26,2025-09-29,2025-09-19,2025-09-20,1
32,2025-0820-HTI,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,GLIDE:FL-2025-000174,,HTI,Haiti,Latin America and the Caribbean,Americas,"Chansolme, Port-de-Paix communes",Heavy ains,,No,No,No,,,Km2,,,,1.0,1.0,4115.0,,4116.0,,,,,,,,,,2025-09-29,2025-09-30,2025-09-16,2025-09-17,1
33,2025-0803-IND,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,IND,India,Southern Asia,Asia,"Dehradun, Champawat, Haridwar, Pauri Garhwal, Bageshwar, Pithoragarh, Nainital, and Udham Singh Nagar districts (Uttarakhand State)",,"Lightening|Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,33.0,,900.0,,900.0,,,,,,,,,,2025-09-26,2025-09-29,2025-09-15,2025-09-17,2
34,2025-0810-GMB,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,GMB,Gambia,Sub-Saharan Africa,Africa,North Bank region,Heavy rain,,No,No,No,,,Km2,,,,8.0,67.0,10700.0,,10767.0,,,,,,,,,,2025-09-26,2025-09-29,2025-09-10,2025-09-11,1
35,2025-0791-MYS,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,MYS,Malaysia,South-eastern Asia,Asia,Sarawak and Sabah states (Borneo Island),Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,13.0,,3134.0,,3134.0,,,,,,,,,,2025-09-12,2025-09-29,2025-09-08,2025-09-15,7
36,2025-0783-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,"Gianyar, Karangasem, Jembrana, Tabanan, Klungkung, and Badung, with Denpasar (Bali); Flores",Heavy rains,"Slide (land, mud, snow, rock)",No,No,Yes,,,Km2,,,,19.0,,562.0,,562.0,,,,,,,,,,2025-09-12,2025-09-29,2025-09-08,2025-09-12,4
37,2025-0843-SLE,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,GLIDE:FL-2025-000169,,SLE,Sierra Leone,Sub-Saharan Africa,Africa,"Bonthe, Kenema, Bo, Moyamba, Kono, Falaba, and Koinadugu",Heavy rains,,No,No,No,,,Km2,,,,,,11080.0,,11080.0,,,,,,,,,,2025-09-30,2025-12-03,2025-08-31,2025-09-05,5
38,2025-0792-GMB,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,GMB,Gambia,Sub-Saharan Africa,Africa,"West Coast region, Lower River regions, and Kanifing Municipality (West Banjul region)",Heavy rains,,No,No,No,,,Km2,,,Upper River and Central River regions,1.0,50.0,10560.0,,10610.0,,,,,,,,,,2025-09-12,2026-02-02,2025-08-30,2025-09-09,10
39,2025-0735-SDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,SDN,Sudan,Northern Africa,Africa,"River Nile, Sennar States",Heavy rains,,No,No,No,,,Km2,,,,32.0,,10000.0,,10000.0,,,,,,,,,,2025-08-28,2025-09-05,2025-08-27,2025-08-28,1
40,2025-0725-COD,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,Kalehe territory (South Kivu province),Heavy rain,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,13.0,12.0,,2000.0,2012.0,,,,,,,,,,2025-08-27,2026-02-02,2025-08-25,2025-08-27,2
41,2025-0719-UGA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,UGA,Uganda,Sub-Saharan Africa,Africa,"Bulambuli, Sironko, Mbale districts and Mbale city (Mount Elgon sub-region in Eastern Uganda)",Heavy rain,,No,No,No,,,Km2,,,,5.0,50.0,15000.0,,15050.0,,,,,,,,,,2025-08-26,2026-02-02,2025-08-17,2025-08-19,2
42,2025-0691-CHN,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,CHN,China,Eastern Asia,Asia,"Ordos, Bayannnur city (Inner Mongolia autonomous region)",Heavy rain,,No,No,No,,,Km2,,,,18.0,,,,,,,,,,,,,,2025-08-19,2025-08-27,2025-08-16,2025-08-19,3
43,2025-0751-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,Punjab state,Monsoon rain,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,52.0,,400000.0,,400000.0,,,,,,,,,,2025-09-01,2025-09-26,2025-08-15,2025-09-19,35
44,2025-0685-PAK,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2025-000139,,PAK,Pakistan,Southern Asia,Asia,"Bunner, Bhattagram, Bajur, and Swat districts (Khyber Pakhtunkhwa) Gilgit-Baltistan, Sindh, Azad Jammu and Kashmir provinces",Monsoon rain,,No,No,No,,,Km2,,,,355.0,347.0,20500.0,,20847.0,,,,,,,,,,2025-08-19,2025-12-12,2025-08-15,2025-08-20,5
